Amenity,Price,Category
2 Car Garage,0.69679187125,Luxury
24/7 Janitor,0.45051160599999995,Standard
24/7 Security,0.7888157138888888,Luxury
Accessible by Boat,0.5449632225000001,Standard
Air Conditioning,0.5482838561538461,Standard
Aircon,0.688909375,Luxury
Alarm,0.7832861111111111,Luxury
Alarm System,0.5307843616666666,Standard
BBQ,0.505505,Standard
Back Porch,0.6022548333333333,Standard
Backup Generator,0.8267540722222222,Luxury
Balcony,0.53868045,Standard
Barbecue Pit,0.3511055877777778,Basic
Basement,0.4172319271428571,Standard
Beach,0.430772786,Standard
Borehole,0.32274,Basic
Brick,0.36666499272727276,Standard
Built-in-Cupboards,0.0735,Basic
Bungalow,0.5158733816666666,Standard
Bus Stop,0.60585765625,Standard
CATV/cable,0.757046255,Luxury
CCTV,0.9734694444444444,Luxury
Car Washing Space Available,0.3842985771428572,Standard
Carport,0.6864576633333334,Luxury
Category I Exclusive Low Building Residential Zone,0.6529028466666668,Standard
Ceramics,0.5820046175,Standard
Corner Plot,0.2762936442857143,Basic
Counter Kitchen,0.43562823666666667,Standard
Country Property,0.659669407142857,Standard
Country Side,0.8143279683333332,Luxury
Eat-in Kitchen,1.152944835,Luxury
Edge of Forest,0.62110308,Standard
Electric Fence,0.451441375,Standard
Electric Heating,0.33080837333333335,Basic
Electrical Generator,0.9170239107142857,Luxury
Electricity,0.3496146195454546,Basic
Electricity Included,0.4125,Standard
En Suite,0.41272000000000003,Standard
Energy Backup Unit,0.564905484,Standard
Ensuite,0.3525,Basic
Entrance Hall,0.6695772088888889,Luxury
Exterior Views,0.47488926727272723,Standard
Fence,0.4125,Standard
Fibre Internet,0.5207125,Standard
First owner,0.43590291,Standard
Floors - Hardwood,0.81275202125,Luxury
French,0.54528852,Standard
Furnished,0.2918321984210526,Basic
Garage,0.384919481,Standard
Garage Detached,0.2794300733333333,Basic
Garages,0.4125,Standard
Garden,0.4435379047619048,Standard
Gas,0.7612227779999999,Luxury
Gated Community,0.5516500000000001,Standard
Golf Course,0.13234374999999998,Basic
Gourmet Verandah,0.431584122,Standard
Gym,0.996105,Luxury
Gymnasium,0.7734565600000001,Luxury
Heating,0.21811541,Basic
High Traffic,0.4241400488888889,Standard
Highrise Condminium,0.3170904666666667,Basic
In-House Laundry Space ,0.844030879,Luxury
Individual Gas Meter,0.07997565,Basic
Individual Water Meter,0.7207134355555556,Luxury
Intercommunication Device with TV Monitor,0.6149292985714286,Standard
Internet,0.3525,Basic
Isolated,0.8722014,Luxury
Italian Style,1.0198616833333334,Luxury
Jacuzzi,1.089036124,Luxury
Janitor Available,0.6829945500000001,Luxury
Kids Play Area,0.6221599999999999,Standard
Kitchen  - Eat-In,0.42877442,Standard
Kitchen - Extra,0.6646461233333334,Luxury
Kitchen/Dinette,0.5792198128571429,Standard
Laundry Service,0.246210172,Basic
Library,0.87217725,Luxury
Lift/ Elevator,0.4125,Standard
Lift/Elevator,0.8518837461538461,Luxury
Maid,0.5467318408333334,Standard
Maisonette Duplex,0.29237886166666666,Basic
More than 2 Balconies,0.4374931578571429,Standard
