Amenity,Price,Category
24/7 Security,1.21006071,Standard
Air conditioning,83.77270833333334,Luxury
Alarm system,77.17376923076924,Luxury
Balcony,50.386624999999995,Standard
Barbeque,0.2030598571428571,Basic
Built in wardrobes,50.27563189999999,Standard
CCTV,0.6058923076923076,Standard
Cable TV,0.33699635294117647,Basic
Car port,0.4758299999999999,Standard
Ceiling fans,77.09923076923077,Luxury
Ceramic tiles,0.41050000000000003,Basic
DSTV,0.321304875,Basic
Dog kennel,0.362875,Basic
Electronic gates,77.12054615384615,Luxury
Garage,0.5915583333333333,Standard
Garden area,64.86520625,Luxury
Gazebo,111.30368888888889,Luxury
Guest house,111.42557777777778,Luxury
Gym,111.62406666666666,Luxury
High Traffic,0.6179033399999999,Standard
Home office,111.47202222222222,Luxury
Hot tab,0.24672857142857144,Basic
Intercom,0.3304285714285714,Basic
Inverter system,0.4631333333333333,Standard
Jacuzzi,77.08234615384616,Luxury
Laundry,59.12701988235294,Standard
Lots of parking,47.83916847619047,Standard
Manicured lawn,77.23868461538461,Luxury
Near Highway,0.6179033399999999,Standard
Near Public Transportation,0.6179033399999999,Standard
Near Schools,0.6179033399999999,Standard
Near Shops,0.6179033399999999,Standard
Needs Redevelopment,0.6179033399999999,Standard
Needs to be redeveloped,1.67348822,Standard
Out door shower,77.48897692307693,Luxury
Parking                  ,1.21006071,Standard
Patio,0.6601874999999999,Standard
Paved compound,52.798965157894735,Standard
Playground,0.37933125,Basic
Pond,0.2332222222222222,Basic
Porch,0.23952857142857145,Basic
Private,0.6179033399999999,Standard
Private yard,0.4986346666666667,Standard
Satellite dish,0.24119090909090907,Basic
Sauna,0.6535955714285715,Standard
Security guards,59.15549411764705,Standard
Septic tank,50.2620069,Standard
Servants quaters,62.826894875,Standard
Soak pit,0.3479625,Basic
Solar panels,0.43146666666666667,Basic
Specious compound,50.1906969,Standard
Sprinkler system,0.33274,Basic
Stand by generator,91.1591090909091,Luxury
Swimming pool,91.52657272727272,Luxury
Tiled roof,62.8493175,Luxury
Trained dogs,0.2175625,Basic
Veranda,47.828610380952384,Standard
Wall fence,50.310624000000004,Standard
Washing machine,111.45002222222223,Luxury
Water fountain,0.4574888888888889,Standard
Water tank,52.91603884210526,Standard
Wheel chair access,0.2599,Basic
WiFi,0.5021111111111111,Standard
