Amenity,Price,Category
,70.0,Standard
172 feet²,40.0,Basic
215 feet²,70.0,Standard
2691 feet²,89.0,Standard
323 feet²,35.0,Basic
Air conditioning,55.0,Standard
Alarm clock,89.0,Standard
Attached bathroom,89.0,Standard
Balcony,55.0,Standard
Bathtub or shower,89.0,Standard
Bidet,89.0,Standard
Cable channels,89.0,Standard
Carbon monoxide detector,89.0,Standard
Carpeted,89.0,Standard
City view,40.0,Basic
Cleaning products,48.0,Basic
Clothes rack,89.0,Standard
Coffee machine,48.0,Basic
Computer,48.0,Basic
Dining table,35.0,Basic
Electric kettle,89.0,Standard
Entire apartment,42.0,Basic
Entire unit located on ground floor,35.0,Basic
Entire unit wheelchair accessible,89.0,Standard
Fan,35.0,Basic
Flat-screen TV,79.5,Standard
Free WiFi,55.0,Standard
Free toiletries,40.0,Basic
Garden view,134.5,Luxury
Hairdryer,89.0,Standard
Hand sanitizer,89.0,Standard
Hot tub,89.0,Standard
Inner courtyard view,89.0,Standard
Interconnecting room(s) available,89.0,Standard
Iron,89.0,Standard
Ironing facilities,89.0,Standard
Landmark view,89.0,Standard
Laptop,48.0,Basic
Linens,40.0,Basic
Minibar,134.5,Luxury
Outdoor dining area,48.0,Basic
Outdoor furniture,48.0,Basic
Patio,89.0,Standard
Pool view,89.0,Standard
Pool with a view,89.0,Standard
Private Bathroom,40.0,Basic
Private kitchen,56.0,Standard
Private suite,18.0,Basic
Safe,89.0,Standard
Satellite channels,89.0,Standard
Sea view,89.0,Standard
Single-room AC for guest accommodation,89.0,Standard
Sitting area,89.0,Standard
Slippers,35.0,Basic
Socket near the bed,89.0,Standard
Soundproof,89.0,Standard
Spa tub,89.0,Standard
Streaming service (like Netflix),48.0,Basic
Suit press,89.0,Standard
TV,89.0,Standard
Tea/Coffee maker,40.0,Basic
Telephone,89.0,Standard
Terrace,110.0,Luxury
Tile/Marble floor,89.0,Standard
Toaster,48.0,Basic
Toilet paper,40.0,Basic
Towels,40.0,Basic
Towels/Sheets (extra fee),40.0,Basic
Upper floors accessible by elevator,89.0,Standard
Upper floors accessible by stairs only,89.0,Standard
View,42.0,Basic
Wake-up service,89.0,Standard
Wake-up service/Alarm clock,89.0,Standard
Walk-in closet,89.0,Standard
Wardrobe or closet,89.0,Standard
Washing machine,56.0,Standard
iPad,48.0,Basic
