Amenity,Price,Category
,776.6666666666666,Basic
1 room,1756.6666666666667,Standard
1076 feet²,2583.0,Standard
1259 feet²,2250.0,Standard
1292 feet²,1662.0,Standard
1399 feet²,1710.0,Standard
1410 feet²,900.0,Basic
1485 feet²,1021.0,Basic
161 feet²,750.0,Basic
1615 feet²,1490.0,Standard
1658 feet²,2295.0,Standard
172 feet²,453.5,Basic
1776 feet²,2880.0,Standard
1830 feet²,3400.0,Luxury
194 feet²,821.6666666666666,Basic
205 feet²,1399.5,Basic
215 feet²,715.0,Basic
2260 feet²,3025.0,Luxury
237 feet²,1107.5,Basic
258 feet²,949.0,Basic
269 feet²,993.5,Basic
279 feet²,1695.0,Standard
280 feet²,2650.0,Standard
323 feet²,3544.0,Luxury
344 feet²,1071.0,Basic
366 feet²,2423.0,Standard
3660 feet²,1520.0,Standard
377 feet²,4000.0,Luxury
388 feet²,4143.666666666667,Luxury
409 feet²,1370.0,Basic
420 feet²,750.0,Basic
431 feet²,1093.3333333333333,Basic
452 feet²,1420.0,Standard
517 feet²,1090.0,Basic
527 feet²,1766.6666666666667,Standard
538 feet²,4386.0,Luxury
646 feet²,2075.0,Standard
678 feet²,1500.0,Standard
753 feet²,719.0,Basic
840 feet²,1215.0,Basic
861 feet²,3800.0,Luxury
8611 feet²,1170.0,Basic
893 feet²,1875.0,Standard
990 feet²,1950.0,Standard
Additional bathroom,2155.5,Standard
Air conditioning,1946.0,Standard
Air purifiers,1097.0,Basic
Alarm clock,3803.5,Luxury
Attached bathroom,3131.8571428571427,Luxury
Baby safety gates,750.0,Basic
Balcony,5705.0,Luxury
Barbecue,1308.7142857142858,Basic
Bathtub or shower,1942.0,Standard
Bidet,2985.0,Luxury
"Books, DVDs or music for children",1695.0,Standard
CD player,3300.0,Luxury
Cable channels,1012.4,Basic
Carbon monoxide detector,1695.0,Standard
Carpeted,1915.8333333333333,Standard
Child safety socket covers,1765.5,Standard
City view,1607.4,Standard
Cleaning products,2060.25,Standard
Clothes rack,3327.125,Luxury
Coffee machine,1466.5,Standard
DVD player,3300.0,Luxury
Detached,5950.2,Luxury
Dining table,1723.5,Standard
Drying rack for clothing,1375.6666666666667,Basic
Electric blankets,2750.0,Standard
Electric kettle,2058.777777777778,Standard
Entire apartment,982.5,Basic
Entire bungalow,1950.0,Standard
Entire cabin,2750.0,Standard
Entire studio,1600.0,Standard
Entire unit located on ground floor,1269.75,Basic
Entire unit wheelchair accessible,1403.5,Basic
Entire vacation home,949.0,Basic
Executive lounge access,3773.3333333333335,Luxury
Extra long beds (> 6.5 ft),1518.2,Standard
Fan,3808.5714285714284,Luxury
Fax,448.5,Basic
Flat-screen TV,1541.25,Standard
Fold-up bed,3703.3333333333335,Luxury
Free WiFi,1541.25,Standard
Free toiletries,3352.0,Luxury
Garden view,3143.090909090909,Luxury
Hairdryer,4988.222222222223,Luxury
Heating,2003.2222222222222,Standard
High chair,3436.6666666666665,Luxury
Hot tub,2919.6666666666665,Luxury
Hypoallergenic,890.5,Basic
Inner courtyard view,1365.6,Basic
Internet facilities,2216.6666666666665,Standard
Iron,1302.0,Basic
Ironing facilities,1718.75,Standard
Laptop safe,2798.3333333333335,Standard
Linens,3352.0,Luxury
Mosquito net,2134.0,Standard
Mountain view,1163.6666666666667,Basic
Outdoor dining area,1588.2857142857142,Standard
Outdoor furniture,3397.2,Luxury
Patio,2107.0,Standard
Pay-per-view channels,1498.2,Standard
Pool view,1783.25,Standard
Pool with a view,1754.6,Standard
Private Bathroom,2236.2,Standard
Private apartment in building,1521.6666666666667,Standard
Private entrance,3055.1,Luxury
Private kitchen,1803.1666666666667,Standard
Private kitchenette,1651.7142857142858,Standard
Private pool,1668.2,Standard
Private suite,5412.5,Luxury
Radio,1579.3333333333333,Standard
Room with shared bathroom,2100.0,Standard
Safe,4468.1,Luxury
Satellite channels,2207.285714285714,Standard
Semi-detached,862.4,Basic
Shared toilet,1432.0,Standard
Single-room AC for guest accommodation,2548.25,Standard
Sitting area,3097.5,Luxury
Socket near the bed,3347.4,Luxury
Sofa bed,1981.6666666666667,Standard
Streaming service (like Netflix),1930.2,Standard
Suit press,2305.75,Standard
TV,1611.75,Standard
Tea/Coffee maker,1743.625,Standard
Telephone,1827.25,Standard
Tent,940.0,Basic
Terrace,4811.857142857143,Luxury
Tile/Marble floor,1892.25,Standard
Toaster,1956.6666666666667,Standard
Toilet paper,3116.6363636363635,Luxury
Towels,3352.0,Luxury
Towels/Sheets (extra fee),5093.833333333333,Luxury
Upper floors accessible by elevator,2216.6666666666665,Standard
Video,1215.0,Basic
View,1692.0,Standard
Wake-up service/Alarm clock,2776.75,Standard
Walk-in closet,2009.5,Standard
Wardrobe or closet,3393.4,Luxury
Washing machine,1503.3333333333333,Standard
