Amenity,Price,Category
24/7 Janitor,1569.805,Luxury
24/7 Security,1817.081111111111,Luxury
ADSL,1160.4966666666667,Standard
Above 2nd Floor Level,3300.0,Luxury
Air Conditioning,1367.704,Standard
Alarm System,1404.98,Standard
Alone location,994.21,Standard
Automatic Door,586.06,Basic
Balcony,2356.63,Luxury
Basement,1451.2,Standard
Bay Window,586.06,Basic
Beach,418.62,Basic
Brick,2511.69,Luxury
Building Age less than 1 year,1246.9216666666666,Standard
Building Age less than 20 year,1138.965,Standard
Building Age less than 3 year,1936.095,Luxury
CATV/cable,418.62,Basic
Car Washing Space Available,1255.845,Standard
Carpet,746.5333333333333,Standard
Carport,418.62,Basic
Central Air,1329.1075,Standard
Central Heating,586.06,Basic
Ceramics,2429.6675,Luxury
Chamber en Suite,1800.0,Luxury
City Center,1255.845,Standard
Concierge Service,1936.095,Luxury
Concrete,418.62,Basic
Downtown,1020.375,Standard
Electricity,1520.97,Standard
Entrance Hall,586.06,Basic
Exterior Views,1883.77,Luxury
First owner,891.0528571428571,Standard
Flat Roof,167.45,Basic
Floor - Parquet,1379.08,Standard
Floors - Heated - Entire,0.0,Basic
Freight Elevator,418.62,Basic
French,586.06,Basic
Furnished,1011.6544444444444,Standard
Garage,850.6885714285714,Standard
Garage Detached,418.62,Basic
Garbage-in 24/7,2905.8450000000003,Luxury
Garden,1255.8466666666666,Standard
Gas - Natural,1596.5383333333332,Luxury
Good reachable traffic,1266.29,Standard
Heating,0.0,Basic
High Ceiling,586.06,Basic
High Traffic,737.8125,Standard
Individual Water Meter,1147.7066666666667,Standard
Kitchen  - Eat-In,3261.635,Luxury
Laundry Service,1076.4414285714286,Standard
Lift/Elevator,913.1075000000001,Standard
Location,2677.972,Luxury
Maid,1599.1119999999999,Luxury
Metal,586.06,Basic
Modern,3496.1944444444443,Luxury
More than 2 Balconies,1325.6166666666666,Standard
Natural Gas,816.3019999999999,Standard
Near Airport,2935.5437500000003,Luxury
Near Beach,907.0,Standard
Near Children,1989.2725,Luxury
Near Highway,3533.816666666667,Luxury
Near Park,2840.637777777778,Luxury
Near Public Transportation,2974.6918181818182,Luxury
Near Railway station,1651.1933333333334,Luxury
Near Schools,3454.333333333334,Luxury
Near Shops,1989.2725,Luxury
Near/On Beach,593.0433333333334,Standard
Near/On Sea,627.9233333333333,Standard
New Building,3479.915555555556,Luxury
No pets allowed,418.62,Basic
Office Use permitted,486.645,Basic
On Busy Road,554.67,Basic
On Quiet Road,1426.2842857142857,Standard
On/Near Lake,1438.9924999999998,Standard
On/Near Water,139.54,Basic
Paint,1109.31,Standard
Paintings,1800.0,Luxury
Parking                  ,1340.4940000000001,Standard
Parking Space for Bicycle,2489.338,Luxury
Parking Space for Motorcycle,2248.8716666666664,Luxury
Parquet floor,1527.925,Standard
Playground,1032.5866666666668,Standard
Pool -  Indoor,1412.83,Standard
Pool - Outdoor,973.285,Standard
Private,418.61749999999995,Basic
Property Registry,732.58,Standard
Ready to Sale,141.285,Basic
Ready to rent,1496.55125,Standard
Restaurant Area,1545.8885714285714,Standard
Roof Balcony,1268.406,Standard
Roof Terrace,1067.47,Standard
Satellite,638.39,Standard
Sauna,418.62,Basic
Security -  System,1510.0071428571428,Standard
Security - Alarm,1248.0,Standard
Security - Surveillance,1057.0066666666667,Standard
Security Camera,1080.5525,Standard
Security System,1545.8885714285714,Standard
Settlement,0.0,Basic
Shed,418.62,Basic
Skylight,690.72,Standard
Smoking allowed,1291.7285714285715,Standard
Solar Heating,0.0,Basic
Stainless Steel Appliances,1227.9399999999998,Standard
Storage Room,2376.773333333333,Luxury
Stucco,418.62,Basic
Swimming Pool,1114.565,Standard
Terrace/Deck,418.62,Basic
Texture,418.62,Basic
To Be Renovated,1046.54,Standard
Unfinished,1491.32,Standard
Unfinished Structure,418.62,Basic
Unfurnished,1111.2354545454546,Standard
Victorian,418.62,Basic
View - Lake,872.1166666666667,Standard
View - Mountain,2825.66,Luxury
View - Open,3517.691428571429,Luxury
Walk-In Closet,558.1533333333333,Basic
Washing Facilities (in apartment),376.75,Basic
Washing Facilities(in building),627.925,Standard
West,1032.5866666666668,Standard
Wheelchair Accessible,1203.5066666666667,Standard
Whirlpool Spa,1255.85,Standard
With Ownership Right,732.58,Standard
Wood,558.1566666666666,Basic
