Amenity,Price,Category
24/7 Janitor,173987.19375,Basic
24/7 Security,606943.6546153846,Luxury
ADSL,121016.59749999999,Basic
Above 2nd Floor Level,282465.345,Standard
Accessible by Boat,0.0,Basic
Air Conditioning,306880.2130769231,Standard
Alarm System,233576.4509090909,Standard
Alone location,92405.254,Basic
Art Deco ,676516.3300000001,Luxury
Attic,72211.225,Basic
Automatic Door,408071.294,Luxury
Back Porch,114868.18,Basic
Balcony,220984.02333333335,Standard
Barbecue Pit,252564.87,Standard
Basement,206314.18333333335,Standard
Bay Window,202497.03,Standard
Beach,493845.4644444444,Luxury
Brick,209756.41999999998,Standard
Building Age less than 1 year,243533.85888888888,Standard
Building Age less than 10 year,202614.9757142857,Standard
Building Age less than 20 year,206953.19,Standard
Building Age less than 3 year,176237.256,Basic
Building Age less than 5 year,272231.0925,Standard
Built-in Kitchen,260900.71125,Standard
CATV/cable,307970.94,Standard
Car Washing Space Available,257867.33600000004,Standard
Carpet,362792.37,Standard
Carport,142648.41999999998,Basic
Central Air,266652.836,Standard
Central Heating,193609.81,Standard
Century Home,202497.03,Standard
Ceramics,178274.24,Standard
Cesspit,158815.86,Basic
Chamber en Suite,418615.80500000005,Luxury
City Center,159806.58363636362,Basic
Clothes Washer/Dryer,0.0,Basic
Concierge Service,531453.0022222223,Luxury
Concrete,256402.185,Standard
Corner Plot,58606.21,Basic
Corner Suite,370161.03,Luxury
Country Property,307682.62,Standard
Deck,366288.83,Standard
Disposer Drainage,98545.65000000001,Basic
Dock,159074.01,Basic
Downtown,523793.0308333333,Luxury
East,134614.88428571427,Basic
Eat-in Kitchen,278703.6257142857,Standard
Electrical Generator,315793.3,Standard
Electricity,165874.41999999998,Basic
Energy Backup Unit,295333.45,Standard
Entrance Hall,259026.15571428573,Standard
Exterior Views,236190.4342857143,Standard
First owner,485622.8790909091,Luxury
Flat Roof,191429.5183333333,Standard
Floor - Parquet,252026.602,Standard
Floors - Hardwood,260338.82166666666,Standard
Freight Elevator,271610.494,Standard
French,29303.11,Basic
Fronting on Lagoon,518942.6175,Luxury
Furnished,473932.8964285715,Luxury
Garage,256935.918,Standard
Garage Detached,250743.89,Standard
Garage with Automatic Door,226722.32,Standard
Garbage-in 24/7,340436.08375,Standard
Garden,264833.32666666666,Standard
Gas - Natural,465698.0123076923,Luxury
Glass Siding,72560.07333333332,Basic
