Amenity,Price,Category
24hr Electricity,47807.256,Standard
AC,47807.256,Standard
ATM,185.0,Basic
Cafeteria,185.0,Basic
Car Parking,47807.256,Standard
Covered Parking,739.038,Standard
Electrical Generator,47807.256,Standard
Fire Station,340.4,Standard
Fully Furnished,47807.256,Standard
Furnished Kitchen,47807.256,Standard
GYM,1377.954,Standard
Green Areas,185.0,Basic
Internet,185.0,Basic
Kids Play Area,185.0,Basic
Maid Room,739.038,Standard
Maintenance Support,185.0,Basic
Medical center,185.0,Basic
Mosque,340.4,Standard
Pets Allowed,47807.256,Standard
Private green,185.0,Basic
Restaurant Access,185.0,Basic
School,185.0,Basic
Security,185.0,Basic
Sewers,185.0,Basic
Swimming Pool,1377.954,Standard
