Amenity,Price,Category
24hr Electricity,962.0,Standard
AC,962.0,Standard
ATM,962.0,Standard
Cafeteria,962.0,Standard
Car Parking,962.0,Standard
Covered Parking,962.0,Standard
Electrical Generator,962.0,Standard
Fire Station,618.714,Basic
Fully Furnished,962.0,Standard
Furnished Kitchen,962.0,Standard
Green Areas,370.0,Basic
Internet,962.0,Standard
Kids Play Area,962.0,Standard
Maid Room,1332.0,Luxury
Maintenance Support,962.0,Standard
Medical center,962.0,Standard
Mosque,148.0,Basic
Pets Allowed,370.0,Basic
Private green,296.0,Basic
Restaurant Access,962.0,Standard
School,674.954,Standard
Security,962.0,Standard
Sewers,453.028,Basic
Swimming Pool,618.714,Basic
