Amenity,Price,Category
,151.0,Luxury
1 room,90.66666666666667,Basic
1023 feet²,209.0,Luxury
10603 feet²,89.0,Basic
1066 feet²,81.0,Basic
1076 feet²,48.0,Basic
1087 feet²,180.0,Luxury
1184 feet²,154.5,Luxury
11840 feet²,135.0,Standard
1292 feet²,223.0,Luxury
1399 feet²,120.0,Standard
161 feet²,149.5,Standard
1615 feet²,118.0,Standard
162 feet²,108.0,Standard
172 feet²,65.0,Basic
1776 feet²,219.0,Luxury
183 feet²,66.5,Basic
194 feet²,93.0,Basic
196 feet²,60.0,Basic
215 feet²,145.0,Standard
2153 feet²,200.5,Luxury
216 feet²,60.0,Basic
220 feet²,100.0,Standard
221 feet²,68.0,Basic
222 feet²,80.0,Basic
226 feet²,54.0,Basic
237 feet²,35.5,Basic
247 feet²,75.0,Basic
250 feet²,102.0,Standard
258 feet²,44.0,Basic
264 feet²,128.0,Standard
269 feet²,92.0,Basic
300 feet²,127.0,Standard
320 feet²,60.0,Basic
323 feet²,118.0,Standard
334 feet²,113.5,Standard
340 feet²,65.0,Basic
344 feet²,195.0,Luxury
350 feet²,59.0,Basic
360 feet²,100.0,Standard
361 feet²,60.0,Basic
377 feet²,227.0,Luxury
409 feet²,132.0,Standard
420 feet²,41.0,Basic
43056 feet²,210.0,Luxury
431 feet²,115.5,Standard
441 feet²,31.0,Basic
4500 feet²,128.0,Standard
484 feet²,115.75,Standard
517 feet²,128.0,Standard
538 feet²,132.25,Standard
560 feet²,94.0,Basic
576 feet²,95.0,Basic
592 feet²,54.5,Basic
603 feet²,117.0,Standard
646 feet²,125.0,Standard
689 feet²,154.0,Luxury
6997 feet²,77.0,Basic
700 feet²,125.0,Standard
743 feet²,150.0,Luxury
753 feet²,154.0,Luxury
775 feet²,180.0,Luxury
807 feet²,213.0,Luxury
840 feet²,79.0,Basic
861 feet²,168.0,Luxury
872 feet²,80.0,Basic
900 feet²,198.0,Luxury
9419 feet²,71.0,Basic
969 feet²,186.5,Luxury
990 feet²,130.0,Standard
Additional bathroom,60.0,Basic
Air conditioning,139.6,Standard
Air purifiers,98.4,Standard
Alarm clock,208.75,Luxury
Attached bathroom,98.77777777777777,Standard
Baby safety gates,159.66666666666666,Luxury
Balcony,153.66666666666666,Luxury
Barbecue,137.0,Standard
Bathtub or shower,119.42857142857143,Standard
Bidet,63.5,Basic
Blu-ray player,139.0,Standard
Board games/puzzles,95.2,Basic
"Books, DVDs or music for children",115.5,Standard
CD player,59.0,Basic
Cable channels,201.42857142857142,Luxury
Carbon monoxide detector,119.25,Standard
Carpeted,133.28571428571428,Standard
Child safety socket covers,138.0,Standard
City view,96.5,Basic
Cleaning products,136.0,Standard
Clothes rack,92.0,Basic
Coffee machine,104.8,Standard
Computer,60.0,Basic
DVD player,179.0,Luxury
Detached,112.4,Standard
Dining table,123.14285714285714,Standard
Drying rack for clothing,110.5,Standard
Electric kettle,111.22222222222223,Standard
Entire apartment,162.25,Luxury
Entire studio,117.0,Standard
Entire unit located on ground floor,128.83333333333334,Standard
Entire unit wheelchair accessible,112.0,Standard
