Amenity,Price,Category
,250000.0,Standard
10 minutes from East Legon,120000.0,Standard
107 sqm net floor area (First floor),168000.0,Standard
137 sqm gross floor area (First floor),168000.0,Standard
139 sqm net floor area (Ground  floor),168000.0,Standard
155 sqm gross floor area (Ground floor),168000.0,Standard
2 bathrooms & 1 half bath (guest washroom),147000.0,Standard
2 car ports,199000.0,Standard
2 in number 6 persons elevator,68750.0,Basic
2 minutes from Police Station,120000.0,Standard
200 gallon capacity poly tank installed,270000.0,Standard
200 gallon capacity poly tank installed.,190000.0,Standard
200-gallon capacity poly tank installed,210600.0,Standard
24 hour security,550000.0,Luxury
24 hours security service,250000.0,Standard
24 hours security with manned security post with all round electric fence,110000.0,Standard
24 hr backup power,195000.0,Standard
24 hr backup power & security,199000.0,Standard
24 hr security,195000.0,Standard
24/ 7 security,210600.0,Standard
24/7 Security,358000.0,Luxury
24/7 man security service,68750.0,Basic
24/7 security,112000.0,Standard
24/7 water and power backup,68750.0,Basic
24/7 water supply,30000.0,Basic
24hr Electricity,66600.0,Basic
24hr Security,232500.0,Standard
24hr backup energy,299000.0,Luxury
24hr security,141750.0,Standard
3 Bedrooms (Detached),147000.0,Standard
3 Bedrooms all ensuite,250000.0,Standard
3 face meter,200000.0,Standard
30-liter water heaters in bathrooms,125000.0,Standard
4 Bedrooms (Detached),194250.0,Standard
4000-litre water tank farm,270000.0,Standard
40ft X 70ft Plots,6500.0,Basic
4g internet service,30000.0,Basic
50ft X 70ft Plots,8000.0,Basic
80 year lease,8000.0,Basic
80-year lease,6500.0,Basic
A big hall with dining area,90000.0,Basic
A carport,90000.0,Basic
A gated residential community within Appolonia City which covers a total area of 90 acres.,45750.0,Basic
A sauna/steam room,30000.0,Basic
A study room,110000.0,Standard
AC,66600.0,Basic
ATM,425.278,Basic
Air Conditioning,360000.0,Luxury
Air condition point in hall and master bedroom,65000.0,Basic
Air conditioners,340000.0,Luxury
Air conditioners in,200000.0,Standard
Air conditioners in all rooms,250000.0,Standard
Air conditioning,207950.0,Standard
Air conditioning in living room and bedrooms (optional),140000.0,Standard
"Air conditioning installed in living, dinning and bedrooms",125000.0,Standard
"Air conditions, DSTV & Internet ready",141750.0,Standard
All Bedrooms en-suite,140000.0,Standard
All of the rooms are en-suit,110000.0,Standard
All of the rooms are en-suite,90000.0,Basic
All rooms en-suite,100000.0,Standard
All rooms en-sutie,120000.0,Standard
Aluzinc roofing sheet,100000.0,Standard
"Ample on ground parking bays, etc",68750.0,Basic
Ample parking,112000.0,Standard
Ample space for landscaping,210600.0,Standard
BATH TUB / SHOWER CUBICLE,380000.0,Luxury
BTH TUB / SHOWER CUBICLE,465000.0,Luxury
Back up generator,141750.0,Standard
Back up water reservoirs,141750.0,Standard
Back up water supply,550000.0,Luxury
Back-up power,112000.0,Standard
Back-up water and electricity supply,125000.0,Standard
Backup Water and Power Supply,360000.0,Luxury
Backup Water and Power supply,430000.0,Luxury
Backup generator,207950.0,Standard
Balconies(2),250000.0,Standard
Balconies(3),200000.0,Standard
Balcony,280000.0,Luxury
Balcony for master bedroom,194250.0,Standard
Ballet & Yoga studio,250000.0,Standard
Basket ball court,30000.0,Basic
Bedroom 1 & Bathroom,490000.0,Luxury
Bedroom 2 & Bathroom,490000.0,Luxury
Bike rack,250000.0,Standard
Bio fill septic tanks,70000.0,Basic
Biofil digesters for waste,82258.46,Basic
Biofill,200000.0,Standard
Bosh home appliances,199000.0,Standard
Bowling alley,250000.0,Standard
Boy's quarters,110000.0,Standard
Boys Quarters,250000.0,Standard
