Amenity,Price,Category
,93160.33333333333,Standard
1 room,61215.0,Basic
156 feet²,55000.0,Basic
161 feet²,46600.0,Basic
1615 feet²,148500.0,Luxury
172 feet²,75880.0,Basic
205 feet²,130500.0,Luxury
215 feet²,61000.0,Basic
226 feet²,150000.0,Luxury
248 feet²,46550.0,Basic
291 feet²,51300.0,Basic
301 feet²,121000.0,Standard
323 feet²,99000.0,Standard
334 feet²,108292.0,Standard
409 feet²,126000.0,Standard
4306 feet²,130000.0,Luxury
431 feet²,182687.5,Luxury
484 feet²,66025.0,Basic
646 feet²,51250.0,Basic
753 feet²,50000.0,Basic
807 feet²,100481.0,Standard
Air conditioning,89632.0,Standard
Air purifiers,80000.0,Standard
Attached bathroom,127432.0,Luxury
Baby safety gates,61000.0,Basic
Balcony,98398.4,Standard
Barbecue,90000.0,Standard
Bathtub or shower,106048.66666666667,Standard
Bidet,104250.0,Standard
Board games/puzzles,80000.0,Standard
Cable channels,160418.4,Luxury
Carbon monoxide detector,98016.66666666667,Standard
Child safety socket covers,80000.0,Standard
City view,80679.16666666667,Standard
Cleaning products,121260.0,Standard
Clothes rack,168023.0,Luxury
Coffee machine,159550.0,Luxury
Detached,130000.0,Luxury
Dining table,77310.0,Basic
Drying rack for clothing,114250.0,Standard
Electric blankets,84000.0,Standard
Electric kettle,143125.0,Luxury
Entire apartment,50000.0,Basic
Entire studio,61000.0,Basic
Entire unit located on ground floor,72686.0,Basic
Entire unit wheelchair accessible,76183.33333333333,Basic
Entire villa,130000.0,Luxury
Executive lounge access,165100.0,Luxury
Extra long beds (> 6.5 ft),54500.0,Basic
Fan,160441.66666666666,Luxury
Flat-screen TV,89632.0,Standard
Fold-up bed,156000.0,Luxury
Free WiFi,89632.0,Standard
Free toiletries,93500.0,Standard
Garden view,91816.0,Standard
Hairdryer,147608.4,Luxury
Hand sanitizer,126918.4,Standard
High chair,130000.0,Luxury
Hypoallergenic,165100.0,Luxury
Inner courtyard view,70500.0,Basic
Interconnecting room(s) available,91000.0,Standard
Iron,141950.0,Luxury
Ironing facilities,141950.0,Luxury
Lake view,148500.0,Luxury
Laptop,80000.0,Standard
Laptop safe,199583.33333333334,Luxury
Linens,143848.66666666666,Luxury
Minibar,87125.0,Standard
Mosquito net,61215.0,Basic
Outdoor dining area,94947.33333333333,Standard
Outdoor furniture,99764.0,Standard
Patio,86075.0,Standard
Pay-per-view channels,63275.0,Basic
Pool view,88960.0,Standard
Private Bathroom,49190.0,Basic
Private apartment in building,50000.0,Basic
Private entrance,68514.0,Basic
Private kitchen,90000.0,Standard
Private kitchenette,107000.0,Standard
Private pool,119500.0,Standard
Private suite,119396.0,Standard
Radio,160441.66666666666,Luxury
Safe,117800.0,Standard
Satellite channels,126918.4,Standard
Single-room AC for guest accommodation,79700.0,Standard
Sitting area,79268.4,Basic
Slippers,107375.0,Standard
Socket near the bed,75900.0,Basic
Soundproof,126918.4,Standard
Spa tub,150000.0,Luxury
Streaming service (like Netflix),50000.0,Basic
Suit press,80000.0,Standard
TV,81558.4,Standard
Tea/Coffee maker,107083.33333333333,Standard
Telephone,79700.0,Standard
Terrace,103665.33333333333,Standard
Tile/Marble floor,68280.66666666667,Basic
Toaster,50000.0,Basic
Toilet paper,89632.0,Standard
Towels,89632.0,Standard
Towels/Sheets (extra fee),84375.0,Standard
Upper floors accessible by elevator,114500.0,Standard
Upper floors accessible by stairs only,106698.0,Standard
View,139385.5,Luxury
Wake-up service,97558.4,Standard
Wake-up service/Alarm clock,87125.0,Standard
Walk-in closet,119666.66666666667,Standard
Wardrobe or closet,81558.4,Standard
Washing machine,90000.0,Standard
Wireless internet,100481.0,Standard
