Amenity,Price,Category
,94.0,Basic
1 room,137.0,Standard
161 feet²,130.0,Standard
215 feet²,86.5,Basic
226 feet²,120.0,Basic
260 feet²,138.0,Standard
269 feet²,157.0,Standard
279 feet²,155.0,Standard
280 feet²,111.5,Basic
301 feet²,155.0,Standard
323 feet²,182.5,Luxury
344 feet²,165.0,Standard
375 feet²,51.0,Basic
377 feet²,140.0,Standard
388 feet²,79.0,Basic
431 feet²,160.0,Standard
462 feet²,165.0,Standard
488 feet²,175.0,Luxury
495 feet²,85.0,Basic
538 feet²,194.0,Luxury
560 feet²,126.0,Basic
592 feet²,207.0,Luxury
624 feet²,230.0,Luxury
646 feet²,175.0,Luxury
700 feet²,175.0,Luxury
732 feet²,157.0,Standard
839 feet²,229.0,Luxury
Air conditioning,172.33333333333334,Luxury
Air purifiers,125.0,Basic
Alarm clock,141.0,Standard
Attached bathroom,142.14285714285714,Standard
Baby safety gates,230.0,Luxury
Balcony,118.5,Basic
Barbecue,141.0,Standard
Bathtub or shower,145.75,Standard
Cable channels,159.0,Standard
Carbon monoxide detector,207.0,Luxury
Cleaning products,51.0,Basic
Clothes rack,139.14285714285714,Standard
Coffee machine,152.0,Standard
Dining table,162.2,Standard
Drying rack for clothing,157.0,Standard
Electric kettle,167.22222222222223,Standard
Entire apartment,115.33333333333333,Basic
Entire bungalow,181.0,Luxury
Entire cabin,74.0,Basic
Entire studio,140.0,Standard
Entire unit located on ground floor,150.8,Standard
Entire unit wheelchair accessible,84.5,Basic
Extra long beds (> 6.5 ft),166.5,Standard
Fan,190.875,Luxury
Fireplace,135.0,Standard
Flat-screen TV,179.11111111111111,Luxury
Free WiFi,179.11111111111111,Luxury
Free toiletries,177.5,Luxury
Garden view,132.375,Standard
Hairdryer,148.57142857142858,Standard
Hand sanitizer,131.25,Standard
Hardwood or parquet floors,170.5,Luxury
Heating,109.0,Basic
High chair,130.0,Standard
Hot tub,123.5,Basic
Interconnecting room(s) available,230.0,Luxury
Iron,71.66666666666667,Basic
Ironing facilities,133.28571428571428,Standard
Linens,167.22222222222223,Standard
Minibar,130.0,Standard
Mosquito net,139.14285714285714,Standard
Mountain view,96.0,Basic
Outdoor dining area,120.4,Basic
Outdoor furniture,130.85714285714286,Standard
Patio,136.66666666666666,Standard
Pool view,141.0,Standard
Pool with a view,159.16666666666666,Standard
Private Bathroom,164.5,Standard
Private apartment in building,157.0,Standard
Private entrance,148.375,Standard
Private kitchen,119.25,Basic
Private kitchenette,135.0,Standard
Private pool,181.5,Luxury
Radio,130.0,Standard
Safe,190.875,Luxury
Satellite channels,154.42857142857142,Standard
Semi-detached,82.0,Basic
Shared toilet,135.0,Standard
Single-room AC for guest accommodation,163.0,Standard
Sitting area,129.75,Standard
Slippers,200.6,Luxury
Socket near the bed,132.375,Standard
Sofa bed,102.0,Basic
Soundproof,119.0,Basic
Streaming service (like Netflix),52.0,Basic
TV,145.75,Standard
Tea/Coffee maker,167.22222222222223,Standard
Telephone,130.0,Standard
Terrace,133.8,Standard
Tile/Marble floor,141.33333333333334,Standard
Toaster,114.2,Basic
Toilet paper,167.22222222222223,Standard
Towels,167.22222222222223,Standard
Towels/Sheets (extra fee),230.0,Luxury
Upper floors accessible by stairs only,95.5,Basic
View,165.0,Standard
Wake-up service,190.875,Luxury
Wake-up service/Alarm clock,137.25,Standard
Walk-in closet,137.0,Standard
Wardrobe or closet,167.22222222222223,Standard
Washing machine,51.0,Basic
