Amenity,Price,Category
,39.0,Basic
1001 feet²,49.0,Basic
1012 feet²,36.0,Basic
10226 feet²,149.0,Standard
1023 feet²,82.5,Standard
1033 feet²,106.5,Standard
1044 feet²,75.0,Standard
1055 feet²,86.0,Standard
1076 feet²,61.666666666666664,Standard
10764 feet²,109.5,Standard
1098 feet²,55.5,Basic
1109 feet²,56.0,Basic
1119 feet²,60.5,Basic
1130 feet²,87.0,Standard
1141 feet²,48.0,Basic
1173 feet²,52.0,Basic
1184 feet²,60.5,Basic
1238 feet²,48.5,Basic
1292 feet²,77.33333333333333,Standard
1346 feet²,60.0,Basic
1367 feet²,100.5,Standard
1378 feet²,49.0,Basic
1389 feet²,335.5,Luxury
1399 feet²,68.5,Standard
1453 feet²,67.0,Standard
1464 feet²,43.0,Basic
1485 feet²,74.0,Standard
1507 feet²,80.33333333333333,Standard
1561 feet²,48.0,Basic
1604 feet²,90.0,Standard
161 feet²,133.0,Standard
1615 feet²,90.0,Standard
1658 feet²,70.0,Standard
1679 feet²,72.0,Standard
172 feet²,24.0,Basic
1722 feet²,129.5,Standard
183 feet²,72.33333333333333,Standard
1830 feet²,89.0,Standard
1851 feet²,514.0,Luxury
1873 feet²,90.0,Standard
1894 feet²,432.0,Luxury
1938 feet²,129.5,Standard
194 feet²,72.0,Standard
1991 feet²,97.5,Standard
205 feet²,63.0,Standard
215 feet²,18.666666666666668,Basic
2153 feet²,163.5,Luxury
226 feet²,41.0,Basic
237 feet²,137.5,Standard
248 feet²,37.0,Basic
258 feet²,65.5,Standard
2583 feet²,105.0,Standard
269 feet²,98.75,Standard
2691 feet²,211.5,Luxury
280 feet²,40.5,Basic
2852 feet²,81.0,Standard
2906 feet²,138.0,Standard
291 feet²,130.5,Standard
301 feet²,50.0,Basic
3014 feet²,263.0,Luxury
312 feet²,61.0,Standard
3229 feet²,125.0,Standard
323 feet²,132.33333333333334,Standard
334 feet²,80.0,Standard
339 feet²,162.0,Standard
344 feet²,156.66666666666666,Standard
3757 feet²,350.0,Luxury
3767 feet²,164.0,Luxury
377 feet²,56.6,Basic
388 feet²,154.0,Standard
4036 feet²,199.0,Luxury
409 feet²,276.5,Luxury
4090 feet²,304.0,Luxury
4306 feet²,275.5,Luxury
441 feet²,31.0,Basic
