Amenity,Price,Category
,4254.4,Luxury
1 room,178.33333333333334,Standard
1000 feet²,99.0,Standard
10226 feet²,80.0,Standard
1023 feet²,387.5,Luxury
1064 feet²,52.0,Basic
1076 feet²,62.333333333333336,Basic
10764 feet²,51.25,Basic
107640 feet²,64.0,Basic
10850 feet²,55.0,Basic
1109 feet²,420.0,Luxury
1130 feet²,673.0,Luxury
1152 feet²,173.0,Standard
1184 feet²,80.0,Standard
1220 feet²,64.0,Basic
12917 feet²,170.0,Standard
1292 feet²,54.0,Basic
1302 feet²,134.0,Standard
1346 feet²,62.0,Basic
1399 feet²,14.0,Basic
1400 feet²,56.0,Basic
1421 feet²,109.0,Standard
14531 feet²,84.0,Standard
1496 feet²,115.0,Standard
1507 feet²,95.0,Standard
1510 feet²,49.0,Basic
156 feet²,54.0,Basic
160 feet²,54.0,Basic
161 feet²,12867.5,Luxury
1615 feet²,56.666666666666664,Basic
169 feet²,77.0,Standard
1690 feet²,91.0,Standard
172 feet²,36.333333333333336,Basic
1722 feet²,6.0,Basic
1776 feet²,1036.0,Luxury
180 feet²,108.0,Standard
183 feet²,63.0,Basic
1938 feet²,88.0,Standard
194 feet²,4478.8,Luxury
199 feet²,20.0,Basic
1991 feet²,90.0,Standard
200 feet²,277.0,Standard
2000 feet²,97.0,Standard
203 feet²,200.0,Standard
2045 feet²,52.0,Basic
205 feet²,27.0,Basic
2067 feet²,162.0,Standard
213 feet²,45.0,Basic
215 feet²,100.0,Standard
21528 feet²,29.0,Basic
2153 feet²,77.0,Standard
216 feet²,52.0,Basic
2174 feet²,31.0,Basic
218 feet²,212.0,Standard
2196 feet²,150.0,Standard
225 feet²,59.0,Basic
226 feet²,204.0,Standard
2260 feet²,41.0,Basic
2368 feet²,58.0,Basic
248 feet²,10545.0,Luxury
250 feet²,32.0,Basic
2550 feet²,132.0,Standard
2551 feet²,126.0,Standard
258 feet²,46.666666666666664,Basic
266 feet²,25.0,Basic
2691 feet²,75.0,Standard
2756 feet²,28.0,Basic
2799 feet²,36.0,Basic
280 feet²,90.0,Standard
2906 feet²,35.0,Basic
291 feet²,85.5,Standard
300 feet²,16.0,Basic
301 feet²,68.66666666666667,Standard
3014 feet²,112.0,Standard
3068 feet²,1599.0,Luxury
307 feet²,95.0,Standard
312 feet²,193.0,Standard
316 feet²,190.0,Standard
320 feet²,165.0,Standard
3229 feet²,101.0,Standard
323 feet²,8196.4,Luxury
327 feet²,90.0,Standard
344 feet²,69.0,Standard
3444 feet²,41.0,Basic
3477 feet²,60.0,Basic
3488 feet²,202.0,Standard
3500 feet²,108.0,Standard
355 feet²,59.5,Basic
360 feet²,15.0,Basic
366 feet²,203.0,Standard
371 feet²,110.0,Standard
3767 feet²,200.0,Standard
380 feet²,31.0,Basic
3875 feet²,72.0,Standard
388 feet²,121.66666666666667,Standard
398 feet²,280.0,Standard
400 feet²,57.0,Basic
409 feet²,149.0,Standard
420 feet²,72.5,Standard
4306 feet²,113.5,Standard
441 feet²,69.0,Standard
450 feet²,43.0,Basic
452 feet²,337.5,Luxury
45209 feet²,129.0,Standard
4629 feet²,25.0,Basic
474 feet²,43.0,Basic
484 feet²,83.0,Standard
49159 feet²,60.0,Basic
495 feet²,273.5,Standard
500 feet²,70.0,Standard
510 feet²,50.0,Basic
517 feet²,116.66666666666667,Standard
527 feet²,92.0,Standard
538 feet²,86.33333333333333,Standard
5382 feet²,110.0,Standard
549 feet²,10.0,Basic
581 feet²,454.0,Luxury
5920 feet²,105.0,Standard
620 feet²,40.0,Basic
6200 feet²,90.0,Standard
624 feet²,107.0,Standard
635 feet²,22.0,Basic
6458 feet²,65.5,Standard
646 feet²,497.0,Luxury
650 feet²,57.0,Basic
667 feet²,306.0,Luxury
6875 feet²,56.0,Basic
689 feet²,295.0,Standard
700 feet²,82.5,Standard
732 feet²,114.0,Standard
753 feet²,289.0,Standard
75348 feet²,160.0,Standard
7535 feet²,75.0,Standard
807 feet²,123.0,Standard
8073 feet²,48.0,Basic
813 feet²,86.0,Standard
829 feet²,69.0,Standard
850 feet²,302.0,Luxury
861 feet²,141.0,Standard
8611 feet²,650.0,Luxury
883 feet²,149.0,Standard
893 feet²,40.0,Basic
900 feet²,144.0,Standard
904 feet²,929.0,Luxury
915 feet²,180.0,Standard
9688 feet²,75.0,Standard
969 feet²,65.0,Standard
Air purifiers,82.625,Standard
Alarm clock,5169.857142857143,Luxury
Attached bathroom,7138.111111111111,Luxury
