Amenity,Price,Category
1 Service elevator,53046.38,Standard
10 min for Lekki-Epe express,20.46,Basic
2 Escape stair cases,53046.38,Standard
2 Resident elevators,53046.38,Standard
24 Hours Security,131495.0,Luxury
24 hour concierge service,189451.35,Luxury
24 hour power supply,189451.35,Luxury
24 hours Electricity,83895.0,Standard
24 hours power,53046.38,Standard
24/7 security,50962.41499999999,Standard
3 car parking space for each terrace,87147.62,Standard
3 parking bays per property,0.0,Basic
"3 plots of land; 40,000sqm each",20.46,Basic
"4-way console ready for Cable, Apple TV, home theater and gaming;",0.0,Basic
A part of COOP City,20.46,Basic
A total of 44 apartments made up of 1 and 2 bedroom apartments and 3 bedroom maisonettes,53046.38,Standard
Adequate parking for 90 Cars,53046.38,Standard
Air Conditioning,93161.87,Standard
All Room Ensuit,94010.0,Standard
Aluminum glazed windows with screens.,83358.59,Standard
Balcony,106092.76,Standard
Balcony 1,189451.35,Luxury
Balcony 2,189451.35,Luxury
Basket ball,53046.38,Standard
Best selection of local primary and secondary schools are situated within the immediate neighborhood.,83358.59,Standard
Big Compound,137700.0,Luxury
Billards Rooms/ Lounge,53046.38,Standard
Box room & Maids room,87147.62,Standard
Boys Quater,128350.0,Luxury
C of O,193800.00000000003,Luxury
CCTV,42099.88,Basic
CCTV Cameras,77945.0,Standard
Changing rooms,53046.38,Standard
Children Play Ground,103700.0,Standard
Chrome rustproof faucets in all bathrooms.,83358.59,Standard
Cinema Room,53046.38,Standard
Concierge services,53046.38,Standard
Digital surveillance (CCTV),0.0,Basic
Drainage,42099.88,Basic
Drainage System,131299.5,Luxury
Easy transfer of ownership,42099.88,Basic
Eco-friendly environment,42099.88,Basic
Electricity,42099.88,Basic
Elevator,133637.00000000003,Luxury
Equipment maintenance,14777.21,Basic
"Extractor
hood",37890.27,Basic
Facility manager's office,53046.38,Standard
Family Lounge,136404.97,Luxury
Fitness Centre,53046.38,Standard
From 10% gross yield per annum,14777.21,Basic
Front Desk Service,113900.0,Standard
Fully equipped fitness centre,0.0,Basic
Furnished,76500.0,Standard
Gate Houses for both entry and exit,53046.38,Standard
General cleaning services and facilities management,87147.62,Standard
Generator house to accommodate two generators Refuse dump/Chute,53046.38,Standard
Governor's Consent,147900.0,Luxury
Green area,42099.88,Basic
Gym,150195.00000000003,Luxury
Health Spa & Gym,189451.35,Luxury
High capital appreciation,42099.88,Basic
High speed internet,53046.38,Standard
Immediate physical allocation,42099.88,Basic
Jacuzzi,170000.0,Luxury
"Kitchen
Cabinet",37890.27,Basic
Landscaping services,14777.21,Basic
Laundromart,53046.38,Standard
Living Room /  Dining Room,166717.19,Luxury
Living Room / Dining Room,189451.35,Luxury
Location,187370.50333333333,Luxury
Master Bedroom,53046.38,Standard
Near Highway,71179.85666666667,Standard
Near fast growing Lekki Free Trade Zone,14777.21,Basic
New,132770.0,Luxury
Office Supplies,167280.0,Luxury
Opportunity for Property Developers,20.46,Basic
POP Ceiling,117810.0,Luxury
Parking Space,131495.0,Luxury
Paved roads,42099.88,Basic
Pedestrian boulevard,42099.88,Basic
Plans for Boat Marina,20.46,Basic
Price On Application,0.0,Basic
Printing Service,159460.0,Luxury
Private jetty,53046.38,Standard
Reinforced security doors at all exits.,83358.59,Standard
Restaurants Nearby,185300.0,Luxury
Rooftop garden on all units,87147.62,Standard
Satellite,92638.49,Standard
Sauna,53046.38,Standard
Sauna/ Steam Room,53046.38,Standard
Secure estate with well built infrastrcture,14777.21,Basic
Secure title,20.46,Basic
Security,131495.0,Luxury
Security doors,82790.0,Standard
Serviced,80410.0,Standard
"Spacious Master Suites with 65 sqm of comfort designed with two sit out balconies, a large walk in close, lavish sitting area and well-appointed bathroom.",83358.59,Standard
Spacious kitchen,87147.62,Standard
Steward Quarters,136404.97,Luxury
Stewards room,136404.97,Luxury
Strategic location; easy access to Lekki-Epe Expressway. 10 mins from Victoria Island and 15 mins from Ikoyi.,83358.59,Standard
Strict digital access control,53046.38,Standard
Study,136404.97,Luxury
"Stunning kitchen spaces equipped with built in oven, hob and extractor hood, microwave and stainless steal sink.",83358.59,Standard
Survey,66699.5,Standard
Swimming Pool,93500.0,Standard
Swimming pool,53046.38,Standard
Swimming pool & Gymnasium,87147.62,Standard
Tenant Occupied Investment Property by large Nigerian industrialist company,17277.96,Basic
Terraces,136404.97,Luxury
Uninterrupted power supply,87147.62,Standard
Views of the Lagoon,113670.81,Standard
Visitor's Toilet,136404.97,Luxury
Visitor's toilet,53046.38,Standard
Waiting area/lounge,53046.38,Standard
Washing machine included.,83358.59,Standard
"Water
Heater",37890.27,Basic
Water Supply,14777.21,Basic
Water Treatment,118490.0,Luxury
Water and sewage treatment plant,87147.62,Standard
Water treatment plant,53046.38,Standard
Well secured environment,42099.88,Basic
automated blinds and energy efficient lighting.,0.0,Basic
cooker,37890.27,Basic
wall mounted and hand-controlled air,0.0,Basic
