Amenity,Price,Category
Air Conditioning,807.982,Standard
Balcony,795.732,Standard
Chamber en Suite,617.518,Basic
Entrance Hall,1139.8020000000001,Luxury
Furnished,798.9266666666666,Standard
Garage,897.0799999999999,Standard
Garden,607.185,Basic
Gymnasium,912.5500000000001,Luxury
Heating - Provision,940.07,Luxury
Kitchen/Dinette,934.2557142857142,Luxury
Parking                  ,1067.7616666666665,Luxury
Permit Parking,595.245,Basic
Satellite,332.0,Basic
Security - Alarm,746.9949999999999,Standard
Storage Room,892.2099999999999,Standard
Swimming Pool,830.884,Standard
Terrace/Deck,787.6533333333333,Standard
View - Great,572.12,Basic
