Amenity,Price,Category
Air Conditioning,304409.5857142857,Standard
Balcony,200858.71333333335,Standard
Chamber en Suite,111139.39666666667,Basic
Entrance Hall,308347.14714285714,Standard
Furnished,348692.8771428572,Luxury
Garage,274688.295,Standard
Garden,262937.7514285714,Standard
Gymnasium,209797.802,Standard
Heating - Provision,378690.62399999995,Luxury
Kitchen/Dinette,296895.88285714283,Standard
Parking                  ,134041.92333333334,Basic
Permit Parking,75365.29,Basic
Satellite,122501.89,Basic
Security - Alarm,404461.67142857146,Luxury
Storage Room,320095.15285714285,Luxury
Swimming Pool,298668.7357142857,Standard
Terrace/Deck,272957.29,Standard
View - Great,349579.3042857143,Luxury
Wheelchair Accessible,106736.42833333333,Basic
