Amenity,Price,Category
,1451.6666666666667,Standard
1 room,700.0,Basic
1033 feet²,1300.0,Standard
1076 feet²,3800.0,Luxury
161 feet²,1500.0,Standard
183 feet²,2000.0,Standard
194 feet²,1039.0,Basic
215 feet²,1100.0,Basic
226 feet²,1822.0,Standard
237 feet²,2070.0,Standard
248 feet²,1100.0,Basic
258 feet²,891.0,Basic
269 feet²,906.6666666666666,Basic
280 feet²,1100.0,Basic
291 feet²,1706.0,Standard
301 feet²,997.5,Basic
312 feet²,2180.0,Standard
323 feet²,1818.0,Standard
344 feet²,1462.5,Standard
377 feet²,1690.0,Standard
398 feet²,1080.0,Basic
420 feet²,855.0,Basic
431 feet²,1150.0,Basic
452 feet²,1195.0,Standard
484 feet²,640.0,Basic
495 feet²,1050.0,Basic
517 feet²,1215.0,Standard
538 feet²,1100.0,Basic
560 feet²,1890.0,Standard
570 feet²,1305.0,Standard
603 feet²,1530.0,Standard
646 feet²,1286.6666666666667,Standard
689 feet²,1602.0,Standard
797 feet²,1350.0,Standard
904 feet²,2500.0,Luxury
969 feet²,3000.0,Luxury
Air conditioning,2243.75,Standard
Attached bathroom,3081.3333333333335,Luxury
Baby safety gates,3400.0,Luxury
Balcony,2020.0,Standard
Barbecue,2543.75,Luxury
Bathtub or shower,2153.125,Standard
Board games/puzzles,916.6666666666666,Basic
"Books, DVDs or music for children",2543.75,Luxury
Cable channels,2543.75,Luxury
Carpeted,1887.5,Standard
City view,1375.5,Standard
Cleaning products,1000.0,Basic
Clothes rack,1682.5,Standard
Coffee machine,2478.75,Luxury
Dining table,2595.6666666666665,Luxury
Electric blankets,1100.0,Basic
Electric kettle,2277.777777777778,Standard
Entire apartment,1973.3333333333333,Standard
Entire studio,1341.0,Standard
Entire unit located on ground floor,2234.0,Standard
Entire unit wheelchair accessible,900.0,Basic
Entire vacation home,3800.0,Luxury
Executive lounge access,1350.0,Standard
Fan,900.0,Basic
Flat-screen TV,1769.4444444444443,Standard
Fold-up bed,1039.0,Basic
Free WiFi,1950.0,Standard
Free toiletries,1884.375,Standard
Game console,3400.0,Luxury
Garden view,1676.25,Standard
Hairdryer,2885.0,Luxury
Hand sanitizer,916.6666666666666,Basic
Hardwood or parquet floors,1059.0,Basic
Hearing accessible,650.0,Basic
Heating,2084.0,Standard
Hot tub,4437.5,Luxury
Hypoallergenic,1246.6666666666667,Standard
Inner courtyard view,950.0,Basic
Interconnecting room(s) available,1167.5,Basic
Internet facilities,2160.0,Standard
Iron,1996.4285714285713,Standard
Ironing facilities,2278.125,Standard
Landmark view,1197.5,Standard
Laptop safe,4026.0,Luxury
Linens,1884.375,Standard
Minibar,916.6666666666666,Basic
Mountain view,1647.3333333333333,Standard
Outdoor dining area,2062.5,Standard
Outdoor furniture,2062.5,Standard
Patio,2631.25,Luxury
Pay-per-view channels,3400.0,Luxury
Pool view,3091.75,Luxury
Pool with a view,2724.4,Luxury
Private Bathroom,1343.3333333333333,Standard
Private apartment in building,1350.0,Standard
Private entrance,1974.2857142857142,Standard
Private kitchen,2246.1666666666665,Standard
Private kitchenette,2073.75,Standard
Private pool,3328.6666666666665,Luxury
Private suite,2037.5,Standard
River view,3400.0,Luxury
Room with shared bathroom,750.0,Basic
Safe,2147.285714285714,Standard
Satellite channels,2060.714285714286,Standard
Shared toilet,2225.0,Standard
Single-room AC for guest accommodation,2374.1428571428573,Luxury
Sitting area,2420.25,Luxury
Slippers,2464.4,Luxury
Socket near the bed,2084.0,Standard
Sofa bed,1963.0,Standard
Soundproof,916.6666666666666,Basic
Spa tub,4387.5,Luxury
Streaming service (like Netflix),2120.285714285714,Standard
TV,2031.25,Standard
Tea/Coffee maker,2427.4285714285716,Luxury
Telephone,1756.6666666666667,Standard
Terrace,4187.5,Luxury
Tile/Marble floor,2095.875,Standard
Toaster,2425.0,Luxury
Toilet paper,2277.777777777778,Standard
Towels,1884.375,Standard
Towels/Sheets (extra fee),983.3333333333334,Basic
Upper floors accessible by elevator,2326.5,Standard
Upper floors accessible by stairs only,2052.5,Standard
Video,3400.0,Luxury
Video games,3400.0,Luxury
View,1110.0,Basic
Wake-up service,2785.6,Luxury
Wake-up service/Alarm clock,1039.0,Basic
Wardrobe or closet,2097.222222222222,Standard
Washing machine,2382.4,Luxury
Wireless internet,640.0,Basic
