Amenity,Price,Category
24/7 Security,1210060.71,Standard
Air conditioning,111610277.77777778,Luxury
Alarm system,111372977.77777778,Luxury
Balcony,77410838.46153846,Standard
Barbeque,240904.22222222222,Basic
Built in wardrobes,77246079.84615384,Standard
CCTV,697240.0,Standard
Cable TV,393061.5,Basic
Car port,652271.4285714285,Standard
Ceiling fans,111284811.1111111,Luxury
Ceramic tiles,509316.6666666667,Basic
DSTV,406252.54545454547,Basic
Dog kennel,432400.0,Basic
Electronic gates,125202887.5,Luxury
Garage,909542.8571428572,Standard
Garden area,103657650.0,Luxury
Gazebo,166821200.0,Luxury
Guest house,200412640.0,Luxury
Gym,167375000.0,Luxury
High Traffic,617903.34,Standard
Home office,200498800.0,Luxury
Hot tab,271625.0,Basic
Intercom,344250.0,Basic
Inverter system,342833.3333333333,Basic
Jacuzzi,125143825.0,Luxury
Laundry,83660094.83333333,Standard
Lots of parking,71656938.42857143,Standard
Manicured lawn,125386087.5,Luxury
Near Highway,617903.34,Standard
Near Public Transportation,617903.34,Standard
Near Schools,617903.34,Standard
Near Shops,617903.34,Standard
Needs Redevelopment,617903.34,Standard
Needs to be redeveloped,1673488.22,Standard
Out door shower,111834033.33333333,Luxury
Parking                  ,1210060.71,Standard
Patio,943200.0,Standard
Paved compound,83476761.5,Standard
Playground,513100.0,Standard
Pond,267440.0,Basic
Porch,261000.0,Basic
Private,617903.34,Standard
Private yard,640804.0,Standard
Satellite dish,287985.71428571426,Basic
Sauna,233533.8,Basic
Security guards,91296563.63636364,Standard
Septic tank,77231902.92307693,Standard
Servants quaters,91268985.27272727,Standard
Soak pit,412454.54545454547,Basic
Solar panels,547400.0,Standard
Specious compound,77105210.61538461,Standard
Sprinkler system,413685.71428571426,Basic
Stand by generator,125287775.0,Luxury
Swimming pool,125729412.5,Luxury
Tiled roof,100433268.0,Luxury
Trained dogs,289525.0,Basic
Veranda,71638167.0,Standard
Wall fence,77297353.84615384,Standard
Washing machine,143229000.0,Luxury
Water fountain,593066.6666666666,Standard
Water tank,77244179.84615384,Standard
Wheel chair access,336083.3333333333,Basic
WiFi,576257.1428571428,Standard
