Amenity,Price,Category
2 Car Garage,696791.8712500001,Luxury
24/7 Janitor,541327.9675,Standard
24/7 Security,466375.55,Standard
Accessible by Boat,544963.2225,Standard
Air Conditioning,385769.21888888883,Standard
Aircon,1012165.0,Luxury
Alarm,375412.5,Standard
Alarm System,348937.19666666666,Standard
BBQ,505505.0,Standard
Back Porch,533672.4439999999,Standard
Backup Generator,913504.1666666666,Luxury
Balcony,403650.1883333333,Standard
Barbecue Pit,320738.11,Basic
Basement,218417.86200000002,Basic
Beach,430772.786,Standard
Borehole,322740.0,Basic
Brick,392181.37375,Standard
Built-in-Cupboards,73500.0,Basic
Bungalow,499048.058,Standard
Bus Stop,605857.65625,Luxury
CATV/cable,778187.3133333334,Luxury
CCTV,900670.8333333334,Luxury
Car Washing Space Available,405937.01,Standard
Carport,365706.836,Standard
Category I Exclusive Low Building Residential Zone,652902.8466666667,Luxury
Ceramics,582004.6174999999,Standard
Corner Plot,386802.96,Standard
Counter Kitchen,373382.6616666666,Standard
Country Property,387912.3416666666,Standard
Country Side,519151.20200000005,Standard
Eat-in Kitchen,1003093.8933333334,Luxury
Edge of Forest,621103.08,Luxury
Electric Fence,650265.0,Luxury
Electric Heating,330808.3733333333,Standard
Electrical Generator,458852.6177777778,Standard
Electricity,239730.30000000002,Basic
Electricity Included,412500.0,Standard
En Suite,412720.0,Standard
Energy Backup Unit,701053.0800000001,Luxury
Ensuite,352500.0,Standard
Entrance Hall,633297.5542857143,Luxury
Exterior Views,457301.025,Standard
Fence,412500.0,Standard
Fibre Internet,346500.0,Standard
First owner,516450.08636363636,Standard
Floors - Hardwood,812752.02125,Luxury
French,545288.52,Standard
Furnished,258107.01090909092,Basic
Garage,317562.79375,Basic
Garage Detached,279430.0733333333,Basic
Garages,412500.0,Standard
Garden,585181.79,Standard
Gas,761222.7779999999,Luxury
Gated Community,592130.0,Standard
Golf Course,132343.75,Basic
Gourmet Verandah,539480.1525,Standard
Gym,996105.0,Luxury
Gymnasium,698430.3785714286,Luxury
Heating,218115.41,Basic
High Traffic,233721.1685714286,Basic
Highrise Condminium,317090.4666666667,Basic
In-House Laundry Space ,776245.1177777778,Luxury
Individual Gas Meter,79975.65,Basic
Individual Water Meter,805622.37375,Luxury
Intercommunication Device with TV Monitor,614929.2985714285,Luxury
Internet,352500.0,Standard
Isolated,872201.4,Luxury
Italian Style,1019861.6833333332,Luxury
Jacuzzi,1017032.31375,Luxury
Janitor Available,682994.5499999999,Luxury
Kids Play Area,622160.0,Luxury
Kitchen  - Eat-In,485695.79666666663,Standard
Kitchen - Extra,664646.1233333334,Luxury
Kitchen/Dinette,400524.5188888889,Standard
Laundry Service,47258.33666666667,Basic
Library,872177.25,Luxury
Lift/ Elevator,412500.0,Standard
Lift/Elevator,476318.365,Standard
Maid,545050.6288888889,Standard
Maisonette Duplex,292378.86166666663,Basic
More than 2 Balconies,401160.02499999997,Standard
Multi Storey Car Park,510026.02999999997,Standard
Multilevel House,480158.56999999995,Standard
Near Airport,454225.33999999997,Standard
Near Beach,347553.6625,Standard
Near Children,570792.98,Standard
Near Church,270123.1258333333,Basic
Near Fitness centre,349705.92636363633,Standard
Near Golf Course,451682.1111111111,Standard
Near Highway,219298.68500000003,Basic
Near Motorway,265860.8733333333,Basic
Near Ocean,283027.85375,Basic
Near Park,641986.3559999999,Luxury
Near Public Transportation,284521.38714285713,Basic
Near Railway station,123607.04142857144,Basic
Near Schools,211792.86000000002,Basic
Near Shops,455213.4375,Standard
Near/On Beach,357187.09375,Standard
Near/On Sea,25446.8,Basic
Needs Redevelopment,781580.2183333334,Luxury
Needs Renovation,95001.37666666666,Basic
Needs to be redeveloped,188791.00333333333,Basic
Networked,317681.98,Basic
New Building,351196.71181818185,Standard
No Pets Allowed,105000.0,Basic
No pets allowed,605270.265,Luxury
Ocean View,527003.8060000001,Standard
Office Use permitted,239330.7666666667,Basic
Old Building,409122.18857142853,Standard
On Busy Road,346439.97500000003,Standard
On Quiet Road,766728.4,Luxury
On/Near Forest,738932.4771428572,Luxury
On/Near Lake,191456.8566666667,Basic
On/Near Water,661356.502,Luxury
Open House Available,382610.3633333333,Standard
Outskirts,153044.31399999998,Basic
Paintings,98000.0,Basic
Parking,564057.1428571428,Standard
Parking                  ,463816.13090909086,Standard
Parking Space for Bicycle,961101.76,Luxury
Parking Space for Motorcycle,960697.8422222222,Luxury
Partially Furnished,323598.73333333334,Basic
Penthouse,584694.28,Standard
Pet Friendly,698316.6666666666,Luxury
Pet allowed,412500.0,Standard
Pets allowed,537468.5985714286,Standard
Play Room,435412.2575,Standard
Playground,400426.81444444443,Standard
Pond,236291.695,Basic
Pool,105000.0,Basic
Pool -  Indoor,326446.0633333333,Basic
Pool - Outdoor,425066.38200000004,Standard
Prefabricated,6179.94,Basic
Private,872411.4755555555,Luxury
Ready to Sale,403781.8746153846,Standard
Redeveloped,398330.86999999994,Standard
Remote (distant),911237.7133333334,Luxury
Residential,306504.6854545455,Basic
Restaurant Area,313337.72000000003,Basic
Roof Balcony,224477.1075,Basic
Roof Terrace,295730.948,Basic
Sauna,444909.68,Standard
Scenic View,476208.90625,Standard
School,531504.53125,Standard
Secure Parking,352500.0,Standard
Security -  System,457357.73384615383,Standard
Security - Surveillance,745048.834,Luxury
Security Camera,534090.68,Standard
Security System,341947.792,Standard
Separate Bath & Restroom,815751.632,Luxury
Service Charge Included,497420.0,Standard
Serviced,131655.0,Basic
Shed,475006.88999999996,Standard
Shopping Centre,571929.53125,Standard
Showroom/Model Home Available,402694.9475,Standard
Smoking allowed,399380.7728571429,Standard
Solar - Collectors,375323.07,Standard
Solar - Heating,413182.73500000004,Standard
Solar Heating,390977.2316666667,Standard
Staff Quarters,369600.0,Standard
Storage Room,338563.39125,Standard
Swimming Pool,381378.2075,Standard
TCP/IP,920830.37625,Luxury
Terrace/Deck,266854.77625,Basic
Texture,343703.91333333333,Standard
Towncentre,568554.1680000001,Standard
Underground Parking,563201.318,Standard
Unfinished,825688.0,Luxury
Unfinished Structure,386753.70999999996,Standard
Unfurnished,229663.40777777776,Basic
Victorian Style,754315.7925,Luxury
View - Great,239948.71545454545,Basic
View - Lake,191456.8566666667,Basic
View - Mountain,409647.9128571428,Standard
View - Ocean,355610.39999999997,Standard
View - Open,385129.4971428571,Standard
Villa,965882.592,Luxury
Walk In Closet,414356.25,Standard
Walk-In Closet,797185.9785714286,Luxury
Walk-in-Closet,352500.0,Standard
Washing Facilities (in apartment),370977.96,Standard
Washing Facilities(in building),873097.9516666667,Luxury
Water,223806.22384615385,Basic
Water - Tank,835023.2266666667,Luxury
Water Included,412500.0,Standard
Wheel Chair friendly,412500.0,Standard
Wheelchair Access,183645.0,Basic
Wheelchair Accessible,207377.43375,Basic
Wood,604937.316,Luxury
