Amenity,Price,Category
,72.0,Standard
1 room,179.0,Luxury
100 m²,57.0,Basic
1000 m²,20.0,Basic
1001 feet²,26.0,Basic
1012 feet²,190.0,Luxury
1023 feet²,68.0,Standard
1076 feet²,68.0,Standard
107640 feet²,70.0,Standard
110 m²,55.0,Basic
113 m²,97.0,Standard
1130 feet²,195.0,Luxury
1184 feet²,90.5,Standard
126 m²,20.0,Basic
1270 feet²,165.0,Luxury
1292 feet²,63.5,Basic
1330 feet²,88.0,Standard
1399 feet²,117.0,Standard
1453 feet²,152.0,Luxury
15 m²,39.0,Basic
1528 feet²,67.0,Standard
161 feet²,110.0,Standard
1615 feet²,57.0,Basic
1711 feet²,116.0,Standard
172 feet²,74.0,Standard
18 m²,41.0,Basic
1819 feet²,103.0,Standard
183 feet²,84.0,Standard
188 feet²,80.0,Standard
194 feet²,63.0,Basic
196 feet²,20.0,Basic
20 m²,50.0,Basic
2000 m²,21.0,Basic
205 feet²,84.0,Standard
215 feet²,24.333333333333332,Basic
2153 feet²,80.0,Standard
224 m²,26.0,Basic
225 feet²,75.0,Standard
234 m²,82.0,Standard
237 feet²,121.0,Standard
242 feet²,171.0,Luxury
25 m²,9.0,Basic
258 feet²,82.0,Standard
269 feet²,40.333333333333336,Basic
280 feet²,174.0,Luxury
282 feet²,203.0,Luxury
30 m²,14.0,Basic
300 feet²,61.0,Basic
301 feet²,109.0,Standard
320 feet²,86.0,Standard
322 feet²,130.0,Luxury
323 feet²,78.75,Standard
328 feet²,160.0,Luxury
344 feet²,174.66666666666666,Luxury
35 m²,15.0,Basic
350 feet²,89.0,Standard
377 feet²,71.66666666666667,Standard
388 feet²,182.0,Luxury
398 feet²,122.5,Luxury
400 feet²,22.0,Basic
431 feet²,36.0,Basic
444 feet²,48.0,Basic
46 m²,50.0,Basic
474 feet²,140.0,Luxury
484 feet²,60.0,Basic
50 m²,213.0,Luxury
517 feet²,65.0,Standard
523 feet²,62.0,Basic
538 feet²,137.5,Luxury
5382 feet²,122.0,Luxury
549 feet²,69.0,Standard
560 feet²,48.0,Basic
592 feet²,65.0,Standard
603 feet²,50.0,Basic
624 feet²,20.0,Basic
646 feet²,86.5,Standard
700 feet²,42.666666666666664,Basic
