Country,Listing_Type,Total_Records,Avg_Price_Total,Non_Empty_Amenities_Records,Avg_Price_Non_Empty,Empty_Amenities_Records,Avg_Price_Empty
Angola,Vacation,88,75.0,87,75.05747126436782,1,70.0
Botswana,Vacation,688,3111.7776162790697,685,3122.0043795620436,3,776.6666666666666
Egypt,Rent,530,2535.6751698113208,530,2535.6751698113208,0,0.0
Egypt,Sale,1253,323918.05221069435,1253,323918.05221069435,0,0.0
Ethiopia,Rent,33,5181.818181818182,33,5181.818181818182,0,0.0
Ghana,Project,25,13671.423040000001,25,13671.423040000001,0,0.0
Ghana,Rent,25,855.6028,25,855.6028,0,0.0
Ghana,Sale,599,363903.20562604343,598,364093.67921404686,1,250000.0
Ghana,Vacation,747,133.7496653279786,743,133.65679676985195,4,151.0
Ivory Coast,Vacation,356,112079.82584269663,353,112240.61473087818,3,93160.33333333333
Kenya,Project,4,75.9375,4,75.9375,0,0.0
Kenya,Rent,801,23179.395046816477,801,23179.395046816477,0,0.0
Kenya,Sale,1189,502828.9816148023,1189,502828.9816148023,0,0.0
Kenya,Vacation,727,108.939477303989,724,109.09254143646409,3,72.0
Malawi,Vacation,423,148.77541371158392,421,149.0356294536817,2,94.0
Morocco,Vacation,1073,2048.3979496738116,1070,2054.0317757009348,3,39.0
Mozambique,Vacation,726,6549.252066115702,724,6558.426795580111,2,3228.0
Nigeria,Project,92,626.3021739130435,92,626.3021739130435,0,0.0
Nigeria,Rent,122,35640.39229508196,122,35640.39229508196,0,0.0
Nigeria,Sale,256,1408681.1858593752,256,1408681.1858593752,0,0.0
Nigeria,Vacation,1067,9434.315838800376,1062,9458.703389830509,5,4254.4
Rwanda,Sale,40,231250.0,40,231250.0,0,0.0
South Africa,Rent,95,875.8433684210529,95,875.8433684210529,0,0.0
South Africa,Sale,109,272244.934587156,109,272244.934587156,0,0.0
South Africa,Vacation,467,2174.017130620985,464,2178.6875,3,1451.6666666666667
Tanzania,Rent,332,2128.262048192771,332,2128.262048192771,0,0.0
Tanzania,Sale,355,459611.8118309859,355,459611.8118309859,0,0.0
Tanzania,Vacation,1119,1000.2734584450402,1116,1002.6308243727599,3,123.33333333333333
Uganda,Project,16,0.0,16,0.0,0,0.0
Uganda,Rent,477,25792.262737945497,477,25792.262737945497,0,0.0
Uganda,Sale,482,58560247.27597511,482,58560247.27597511,0,0.0
Uganda,Vacation,233,336.8068669527897,230,339.39130434782606,3,138.66666666666666
Zambia,Vacation,748,336.072192513369,746,336.5603217158177,2,154.0
Zimbabwe,Project,1,75.0,1,75.0,0,0.0
Zimbabwe,Rent,16,1743.75,16,1743.75,0,0.0
Zimbabwe,Sale,31,370935.96774193546,31,370935.96774193546,0,0.0
Zimbabwe,Vacation,301,238.70099667774087,299,238.23745819397993,2,308.0


Summary for Cleaned Data
Country,Listing_Type,Total_Records,Avg_Price_Total,Non_Empty_Amenities_Records,Avg_Price_Non_Empty,Empty_Amenities_Records,Avg_Price_Empty
Angola,Vacation,25,51.24,25,51.24,0,0.0
Botswana,Vacation,472,3152.9173728813557,468,3170.9893162393164,4,1038.5
Egypt,Rent,200,2580.4960499999997,200,2580.4960499999997,0,0.0
Egypt,Sale,661,219921.93413010586,661,219921.93413010586,0,0.0
Ethiopia,Rent,4,4250.0,4,4250.0,0,0.0
Ghana,Project,41,2828.5399024390244,41,2828.5399024390244,0,0.0
Ghana,Rent,255,1108.49591372549,255,1108.49591372549,0,0.0
Ghana,Sale,408,110003.78034313724,408,110003.78034313724,0,0.0
Ghana,Vacation,623,135.19422150882826,623,135.19422150882826,0,0.0
Ivory Coast,Vacation,82,110054.01219512195,82,110054.01219512195,0,0.0
Kenya,Project,71,71.21830985915493,47,60.558510638297875,24,92.09375
Kenya,Rent,18691,1548.5806350810549,14006,2006.262726888476,4685,180.32121611526148
Kenya,Sale,14271,426345.6584508654,13549,438956.46485200385,722,189692.17378462604
Kenya,Vacation,713,105.85553997194951,713,105.85553997194951,0,0.0
Malawi,Vacation,143,128.92307692307693,143,128.92307692307693,0,0.0
Morocco,Vacation,4760,523.7117647058824,4760,523.7117647058824,0,0.0
Mozambique,Vacation,670,8651.29552238806,670,8651.29552238806,0,0.0
Nigeria,Project,2934,298.8480494751193,2580,296.7566015968992,354,314.0908051977401
Nigeria,Rent,11306,6721.891789927118,7113,6517.953546592999,4193,7067.852373002624
Nigeria,Sale,30175,357328.8923602068,20723,311266.80084981705,9452,458317.5426320863
Nigeria,Vacation,2029,2862.5554460325284,2029,2862.5554460325284,0,0.0
Rwanda,Sale,3,250000.0,3,250000.0,0,0.0
South Africa,Rent,3937,815.5100406400813,3937,815.5100406400813,0,0.0
South Africa,Sale,10585,132305.89566650923,10583,132310.94425210243,2,105591.30500000001
South Africa,Vacation,269,2067.7732342007434,269,2067.7732342007434,0,0.0
Tanzania,Rent,111,1595.3243243243244,111,1595.3243243243244,0,0.0
Tanzania,Sale,256,391233.459375,256,391233.459375,0,0.0
Tanzania,Vacation,2449,411.0008166598612,2449,411.0008166598612,0,0.0
Uganda,Project,4,11712.35,2,0.0,2,23424.7
Uganda,Rent,3862,4818.492285124288,2286,6452.273841583551,1576,2448.6796975190355
Uganda,Sale,7045,502417.98020823277,6199,551265.6166914018,846,144490.67694680853
Uganda,Vacation,151,184.97350993377484,150,186.10666666666665,1,15.0
Zambia,Vacation,472,257.29237288135596,472,257.29237288135596,0,0.0
Zimbabwe,Project,5,74.0,1,75.0,4,73.75
Zimbabwe,Rent,282,12168.063829787234,24,19783.333333333332,258,11459.666666666666
Zimbabwe,Sale,598,6694367893.467391,193,20739665504.61917,405,1176686.177777778
Zimbabwe,Vacation,147,223.0612244897959,147,223.0612244897959,0,0.0
