,Credible,Count,Mean,Std,Min,25%,50%,75%,Max
Ethiopia_Rent,Yes,33,5181.818181818182,1044.465935734187,0.0,5000.0,5000.0,6000.0,6000.0
Ghana_Rent,No,25,855.6028,381.0642394387067,148.0,618.714,962.0,962.0,2078.66
Nigeria_Rent,Yes,122,35640.39229508196,91960.24286900755,21.98,1828.445,3060.0,17000.0,340000.0
Uganda_Rent,Yes,477,25792.262737945497,458060.39396241884,0.0,1000.0,1500.0,2275.0,10000000.0
Egypt_Rent,Yes,530,2535.6751698113208,12510.083412273783,0.0,586.06,837.23,1674.46,200000.0
Kenya_Rent,Yes,801,23179.395046816477,131933.64693332528,0.0,693.0,1575.0,3000.0,847000.0
South Africa_Rent,Yes,95,875.8433684210529,912.871375401174,1.86,484.68,703.05,1067.525,8174.17
Rwanda_Rent,No,0,,,,,,,
Tanzania_Rent,Yes,332,2128.262048192771,2655.9842198018187,0.0,600.0,1450.0,2200.0,15000.0
Zambia_Rent,No,0,,,,,,,
Zimbabwe_Rent,No,16,1743.75,1147.7332733116466,400.0,1000.0,1500.0,2000.0,5000.0
Botswana_Rent,No,0,,,,,,,
Angola_Rent,No,0,,,,,,,
Ivory Coast_Rent,No,0,,,,,,,
Malawi_Rent,No,0,,,,,,,
Morocco_Rent,No,0,,,,,,,
Mozambique_Rent,No,0,,,,,,,
Ethiopia_Sale,No,0,,,,,,,
Ghana_Sale,Yes,599,363903.20562604343,590314.3308975201,80.216,100000.0,200000.0,346500.0,3150000.0
Nigeria_Sale,Yes,256,1408681.1858593752,8939191.402673228,0.0,46750.0,83358.59,183600.0,64600000.00000001
Uganda_Sale,Yes,482,58560247.27597511,234048535.07176498,338.0,91000.0,195000.0,600000.0,1000000000.0
Egypt_Sale,Yes,1253,323918.05221069435,538717.8068797021,0.0,87909.32,163260.17,334892.65,3601946.23
Kenya_Sale,Yes,1189,502828.9816148023,659845.8377147485,0.0,125125.0,305361.57,654346.23,5671000.65
South Africa_Sale,Yes,109,272244.934587156,268399.3201373647,20239.44,91610.11,173100.5,396799.6,1517958.19
Rwanda_Sale,Yes,40,231250.0,182464.4327828556,0.0,0.0,350000.0,362500.0,400000.0
Tanzania_Sale,Yes,355,459611.8118309859,549404.1438116393,0.0,120990.0,260000.0,440000.0,2500000.0
Zambia_Sale,No,0,,,,,,,
Zimbabwe_Sale,Yes,31,370935.96774193546,1053207.4620434628,15.0,80000.0,156000.0,287500.0,6000000.0
Botswana_Sale,No,0,,,,,,,
Angola_Sale,No,0,,,,,,,
Ivory Coast_Sale,No,0,,,,,,,
Malawi_Sale,No,0,,,,,,,
Morocco_Sale,No,0,,,,,,,
Mozambique_Sale,No,0,,,,,,,
Ethiopia_Project,No,0,,,,,,,
Ghana_Project,No,25,13671.423040000001,21728.98716613344,185.0,185.0,340.4,47807.256,47807.256
Nigeria_Project,Yes,92,626.3021739130435,4595.99828314456,13.6,40.8,71.4,140.25,44200.0
Uganda_Project,No,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt_Project,No,0,,,,,,,
Kenya_Project,No,4,75.9375,99.375,26.25,26.25,26.25,75.9375,225.0
South Africa_Project,No,0,,,,,,,
Rwanda_Project,No,0,,,,,,,
Tanzania_Project,No,0,,,,,,,
Zambia_Project,No,0,,,,,,,
Zimbabwe_Project,No,1,75.0,,75.0,75.0,75.0,75.0,75.0
Botswana_Project,No,0,,,,,,,
Angola_Project,No,0,,,,,,,
Ivory Coast_Project,No,0,,,,,,,
Malawi_Project,No,0,,,,,,,
Morocco_Project,No,0,,,,,,,
Mozambique_Project,No,0,,,,,,,
Ethiopia_Vacation,No,0,,,,,,,
Ghana_Vacation,Yes,747,133.7496653279786,86.3679405957817,12.0,71.0,100.0,198.0,684.0
Nigeria_Vacation,Yes,1067,9434.315838800376,30129.17728724361,6.0,45.5,109.0,266.0,267750.0
Uganda_Vacation,Yes,233,336.8068669527897,403.63877409466215,21.0,70.0,150.0,560.0,1750.0
Egypt_Vacation,No,0,,,,,,,
Kenya_Vacation,Yes,727,108.939477303989,135.65163278767906,9.0,44.0,81.0,144.0,2250.0
South Africa_Vacation,Yes,467,2174.017130620985,2146.583150702967,500.0,950.0,1215.0,2340.0,7425.0
Rwanda_Vacation,No,0,,,,,,,
Tanzania_Vacation,Yes,1119,1000.2734584450402,1862.163727029048,8.0,70.0,267.0,1472.0,19430.0
Zambia_Vacation,Yes,748,336.072192513369,477.3179168125932,20.0,90.0,132.0,278.0,3016.0
Zimbabwe_Vacation,Yes,301,238.70099667774087,180.47745094333342,18.0,84.0,209.0,356.0,713.0
Botswana_Vacation,Yes,688,3111.7776162790697,4677.192078835561,250.0,949.0,1662.0,2760.0,31679.0
Angola_Vacation,Yes,88,75.0,34.21433456396854,18.0,42.0,89.0,89.0,180.0
Ivory Coast_Vacation,Yes,356,112079.82584269663,81736.04133111818,22500.0,58000.0,99000.0,130500.0,368750.0
Malawi_Vacation,Yes,423,148.77541371158392,75.23684033036713,35.0,109.0,140.0,175.0,446.0
Morocco_Vacation,Yes,1073,2048.3979496738116,11916.578579292423,10.0,51.0,105.0,176.0,82915.0
Mozambique_Vacation,Yes,726,6549.252066115702,7882.0406287284995,12.0,503.0,4490.0,8000.0,85000.0
